


2022-12-03 00:02:54:748877  ->     Device used:genmet0

2022-12-03 00:02:54:748877  ->     Theta   Phi             X              Y              Z                      |0>            |1>
2022-12-03 00:03:05:922618  ->      39.0    49.5           0.4087108997   0.4785389796   0.7771459615           0.9426414911   0.2167902132 +0.2538287271 *i
2022-12-03 00:03:06:474635  ->      43.0    34.0           0.5654022649   0.3813686431   0.7313537016           0.9304175680   0.3038432873 +0.2049448851 *i
2022-12-03 00:03:07:026905  ->      37.5    51.6           0.3781308103   0.4770823490   0.7933533403           0.9469301295   0.1996614104 +0.2519100059 *i
2022-12-03 00:03:07:579272  ->      47.8    39.4           0.5724445830   0.4702112816   0.6717205893           0.9142539552   0.3130665061 +0.2571557273 *i
2022-12-03 00:03:08:131886  ->      38.1    59.2           0.3159488172   0.5300090717   0.7869350220           0.9452341038   0.1671272841 +0.2803586273 *i
2022-12-03 00:03:08:684058  ->      42.9    41.6           0.5090417660   0.4519484284   0.7325428988           0.9307370463   0.2734616442 +0.2427906089 *i
2022-12-03 00:03:09:236054  ->      37.7    53.6           0.3628916953   0.4922143216   0.7912235330           0.9463676698   0.1917287049 +0.2600544890 *i
2022-12-03 00:03:09:788514  ->      37.5    31.0           0.5218103909   0.3135353145   0.7933533403           0.9469301295   0.2755273988 +0.1655535634 *i
2022-12-03 00:03:10:340377  ->      41.7    39.2           0.5155165971   0.4204450772   0.7466381823           0.9345154312   0.2758202700 +0.2249535230 *i
2022-12-03 00:03:10:892690  ->      42.9    34.0           0.5643431768   0.3806542792   0.7325428988           0.9307370463   0.3031700409 +0.2044907746 *i
2022-12-03 00:03:11:444841  ->      44.4    39.0           0.5437405395   0.4403124071   0.7144726796           0.9258705848   0.2936374415 +0.2377829117 *i
2022-12-03 00:03:11:996744  ->      33.3    44.7           0.3902451302   0.3861797419   0.8358073614           0.9580728995   0.2036615013 +0.2015398526 *i
2022-12-03 00:03:12:548454  ->      43.4    36.9           0.5494533414   0.4125412381   0.7265746710           0.9291325715   0.2956808093 +0.2220034313 *i
2022-12-03 00:03:13:100580  ->      42.0    35.4           0.5454269562   0.3876147621   0.7431448255           0.9335804265   0.2921156768 +0.2075958059 *i
2022-12-03 00:03:13:652898  ->      38.6    42.4           0.4607072201   0.4206835016   0.7815204724           0.9438009516   0.2440701185 +0.2228666441 *i
2022-12-03 00:03:14:205275  ->      38.3    43.3           0.4510582951   0.4250558348   0.7847763705           0.9446630009   0.2387403205 +0.2249774969 *i
2022-12-03 00:03:14:757471  ->      37.9    59.0           0.3163802669   0.5265451868   0.7890840848           0.9458023273   0.1672549632 +0.2783590036 *i
2022-12-03 00:03:15:309979  ->      41.6    43.1           0.4847738749   0.4536433688   0.7477980905           0.9348256764   0.2592857081 +0.2426352743 *i
2022-12-03 00:03:15:862485  ->      36.8    35.8           0.4858463675   0.3504034515   0.8007313709           0.9488760116   0.2560115134 +0.1846413268 *i
2022-12-03 00:03:16:414559  ->      39.7    52.5           0.3888572094   0.5067685817   0.7693995550           0.9405848061   0.2067103396 +0.2693901594 *i
2022-12-03 00:03:16:966991  ->      44.5    47.5           0.4735274354   0.5167645157   0.7132504492           0.9255405040   0.2558112980 +0.2791690442 *i
2022-12-03 00:03:17:519185  ->      37.4    27.7           0.5377666969   0.2823338279   0.7944146205           0.9472102777   0.2838686982 +0.1490343984 *i
2022-12-03 00:03:18:071314  ->      40.7    51.8           0.4032631275   0.5124560257   0.7581343362           0.9375858191   0.2150539819 +0.2732848638 *i
2022-12-03 00:03:18:623543  ->      38.1    40.0           0.4726769034   0.3966230153   0.7869350220           0.9452341038   0.2500316596 +0.2098014733 *i
2022-12-03 00:03:19:175736  ->      39.2    59.0           0.3255191553   0.5417548513   0.7749444887           0.9420574528   0.1727703307 +0.2875381166 *i
2022-12-03 00:03:19:727947  ->      48.8    41.1           0.5669923312   0.4946189357   0.6586894601           0.9106836608   0.3113003755 +0.2715646261 *i
2022-12-03 00:03:20:861366  ->      36.2    53.6           0.3504765577   0.4753748386   0.8069603121           0.9505157316   0.1843612610 +0.2500615312 *i
2022-12-03 00:03:21:415742  ->      44.1    35.0           0.5700583900   0.3991591819   0.7181262978           0.9268565956   0.3075224326 +0.2153295255 *i
2022-12-03 00:03:21:968215  ->      36.9    38.1           0.4724917032   0.3704808192   0.7996846585           0.9486001946   0.2490468091 +0.1952776424 *i
2022-12-03 00:03:22:523879  ->      40.5    37.4           0.5159310249   0.3944590537   0.7604059656           0.9381913359   0.2749604506 +0.2102231382 *i
2022-12-03 00:03:23:075923  ->      39.3    43.3           0.4609573443   0.4343842268   0.7738402097           0.9417643574   0.2447307231 +0.2306225668 *i
2022-12-03 00:03:23:628348  ->      34.9    62.5           0.2641875636   0.5074995879   0.8201518759           0.9539790029   0.1384661312 +0.2659909633 *i
2022-12-03 00:03:24:180705  ->      39.7    43.7           0.4618081459   0.4413134499   0.7693995550           0.9405848061   0.2454899032 +0.2345952470 *i
2022-12-03 00:03:24:732672  ->      32.3    29.0           0.4673550953   0.2590591596   0.8452618332           0.9605367857   0.2432780828 +0.1348512433 *i
2022-12-03 00:03:25:284724  ->      43.8    49.6           0.4485917654   0.5270935412   0.7217602281           0.9278362539   0.2417408047 +0.2840444847 *i
2022-12-03 00:03:25:837075  ->      46.1    43.1           0.5261192401   0.4923336772   0.6934018283           0.9201635258   0.2858835551 +0.2675250993 *i
2022-12-03 00:03:26:389194  ->      36.9    36.5           0.4826519174   0.3571436317   0.7996846585           0.9486001946   0.2544021813 +0.1882477116 *i
2022-12-03 00:03:26:941304  ->      36.5    53.0           0.3579732892   0.4750465997   0.8038568606           0.9496991262   0.1884666834 +0.2501037363 *i
2022-12-03 00:03:27:493959  ->      42.5    40.5           0.5137228242   0.4387607418   0.7372773368           0.9320078693   0.2756000465 +0.2353846766 *i
2022-12-03 00:03:28:046554  ->      42.9    58.7           0.3536475013   0.5816479573   0.7325428988           0.9307370463   0.1899824997 +0.3124663188 *i
2022-12-03 00:03:28:598364  ->      36.9    44.1           0.4311775535   0.4178401181   0.7996846585           0.9486001946   0.2272704328 +0.2202403713 *i
2022-12-03 00:03:29:150292  ->      34.2    50.9           0.3544923882   0.4362027859   0.8270805743           0.9557930148   0.1854441195 +0.2281889379 *i
2022-12-03 00:03:29:702568  ->      37.7    31.1           0.5236304759   0.3158740978   0.7912235330           0.9463676698   0.2766527707 +0.1668876209 *i
2022-12-03 00:03:30:254862  ->      44.0    39.5           0.5360154757   0.4418570600   0.7193398003           0.9271838546   0.2890556566 +0.2382790952 *i
2022-12-03 00:03:30:806961  ->      42.7    34.3           0.5602265467   0.3821606393   0.7349145951           0.9313738764   0.3007527701 +0.2051596298 *i
2022-12-03 00:03:31:358914  ->      38.7    39.2           0.4845283506   0.3951716801   0.7804304073           0.9435121640   0.2567684706 +0.2094152546 *i
2022-12-03 00:03:31:910880  ->      37.6    45.4           0.4284152896   0.4344392485   0.7922896434           0.9466492601   0.2262798418 +0.2294615687 *i
2022-12-03 00:03:32:463063  ->      36.8    39.6           0.4615556154   0.3818320121   0.8007313709           0.9488760116   0.2432117630 +0.2012022685 *i
2022-12-03 00:03:33:015177  ->      42.1    36.2           0.5410076737   0.3959577609   0.7419758410           0.9332673360   0.2898460349 +0.2121352294 *i
2022-12-03 00:03:33:567359  ->      34.1    39.3           0.4338449971   0.3550980156   0.8280603346           0.9560492494   0.2268946905 +0.1857111523 *i
2022-12-03 00:03:34:119178  ->      39.8    42.4           0.4726924262   0.4316274987   0.7682835236           0.9402881270   0.2513550967 +0.2295187434 *i
2022-12-03 00:03:34:671572  ->      43.7    54.4           0.4021785212   0.5617570142   0.7229671459           0.9281613938   0.2166533341 +0.3026181750 *i
2022-12-03 00:03:35:223655  ->      40.5    40.4           0.4945795676   0.4209202048   0.7604059656           0.9381913359   0.2635813979 +0.2243253528 *i
2022-12-03 00:03:35:776060  ->      36.5    34.1           0.4925491558   0.3334808491   0.8038568606           0.9496991262   0.2593185264 +0.1755718416 *i
2022-12-03 00:03:36:328325  ->      38.5    51.5           0.3875244728   0.4871850324   0.7826081569           0.9440890204   0.2052372522 +0.2580185882 *i
2022-12-03 00:03:36:880578  ->      46.1    46.5           0.4959946547   0.5226693094   0.6934018283           0.9201635258   0.2695144074 +0.2840089260 *i
2022-12-03 00:03:37:433003  ->      40.6    37.9           0.5135155777   0.3997609703   0.7592713073           0.9378889346   0.2737614011 +0.2131174361 *i
2022-12-03 00:03:37:985187  ->      41.7    53.1           0.3994177594   0.5319745090   0.7466381823           0.9345154312   0.2137031375 +0.2846258559 *i
2022-12-03 00:03:38:537169  ->      37.1    41.2           0.4538626831   0.3973267438   0.7975839288           0.9480463936   0.2393673380 +0.2095502638 *i
2022-12-03 00:03:39:089508  ->      37.5    58.4           0.3189824089   0.5184985056   0.7933533403           0.9469301295   0.1684297494 +0.2737786503 *i
2022-12-03 00:03:39:643598  ->      40.4    40.5           0.4928342392   0.4209202048   0.7615383075           0.9384930228   0.2625668104 +0.2242532414 *i
2022-12-03 00:03:40:196007  ->      42.0    45.3           0.4706629240   0.4756176830   0.7431448255           0.9335804265   0.2520741174 +0.2547277500 *i
2022-12-03 00:03:40:747935  ->      40.9    31.4           0.5588545436   0.3411262703   0.7558534692           0.9369774461   0.2982219827 +0.1820354757 *i
2022-12-03 00:03:41:300180  ->      43.8    42.9           0.5070245670   0.4711563028   0.7217602281           0.9278362539   0.2732295515 +0.2539005675 *i
2022-12-03 00:03:41:852454  ->      40.7    34.3           0.5386973792   0.3674744370   0.7581343362           0.9375858191   0.2872789713 +0.1959684274 *i
2022-12-03 00:03:42:404355  ->      40.8    36.9           0.5225304326   0.3923269463   0.7569950557           0.9372819895   0.2787477186 +0.2092897072 *i
2022-12-03 00:03:42:956682  ->      41.8    45.4           0.4680078089   0.4745884793   0.7454759997           0.9342044743   0.2504846753 +0.2540067471 *i
2022-12-03 00:03:43:508922  ->      37.4    41.3           0.4562996839   0.4008690673   0.7944146205           0.9472102777   0.2408650406 +0.2116051086 *i
2022-12-03 00:03:44:061122  ->      43.2    42.4           0.5055074663   0.4615917479   0.7289686274           0.9297764859   0.2718435419 +0.2482272648 *i
2022-12-03 00:03:44:613095  ->      37.4    36.8           0.4863448888   0.3638324612   0.7944146205           0.9472102777   0.2567248795 +0.1920547474 *i
2022-12-03 00:03:45:165085  ->      43.9    44.9           0.4911641385   0.4894526376   0.7205511117           0.9275104074   0.2647755403 +0.2638529087 *i
2022-12-03 00:03:45:717312  ->      41.3    60.7           0.3229932344   0.5755671744   0.7512641335           0.9357521396   0.1725848228 +0.3075425372 *i
2022-12-03 00:03:46:269064  ->      37.3    48.1           0.4046987819   0.4510441632   0.7954734809           0.9474897047   0.2135636830 +0.2380206144 *i
2022-12-03 00:03:46:820847  ->      38.2    27.7           0.5475348514   0.2874622236   0.7858568932           0.9449489122   0.2897166420 +0.1521046376 *i
2022-12-03 00:03:47:373209  ->      39.3    49.3           0.4130266561   0.4801877874   0.7738402097           0.9417643574   0.2192834401 +0.2549405186 *i
2022-12-03 00:03:47:925734  ->      37.3    46.1           0.4201934647   0.4366456155   0.7954734809           0.9474897047   0.2217403855 +0.2304223536 *i
2022-12-03 00:03:48:477683  ->      39.6    39.2           0.4939682078   0.4028706397   0.7705132428           0.9408807690   0.2625030844 +0.2140922915 *i
2022-12-03 00:03:49:029084  ->      38.9    53.1           0.3770417206   0.5021724233   0.7782431485           0.9429324336   0.1999304018 +0.2662822942 *i
2022-12-03 00:03:49:581252  ->      40.5    41.8           0.4841479331   0.4328782120   0.7604059656           0.9381913359   0.2580219591 +0.2306982570 *i
2022-12-03 00:03:50:133708  ->      39.5    58.0           0.3370701025   0.5394249237   0.7716245834           0.9411760153   0.1790685786 +0.2865696294 *i
2022-12-03 00:03:50:685798  ->      37.2    40.1           0.4624708019   0.3894365764   0.7965299180           0.9477684100   0.2439788017 +0.2054492281 *i
2022-12-03 00:03:51:238097  ->      41.4    49.7           0.4277297556   0.5043616157   0.7501110696           0.9354440308   0.2286239163 +0.2695840687 *i
2022-12-03 00:03:51:790383  ->      39.6    32.3           0.5387901701   0.3406090065   0.7705132428           0.9408807690   0.2863222354 +0.1810054035 *i
2022-12-03 00:03:52:342995  ->      40.0    40.0           0.4924038765   0.4131759112   0.7660444431           0.9396926208   0.2620026302 +0.2198463104 *i
2022-12-03 00:03:52:895303  ->      37.0    34.1           0.4983391495   0.3374009695   0.7986355100           0.9483236552   0.2627474000 +0.1778933635 *i
2022-12-03 00:03:53:447563  ->      37.7    38.8           0.4765862390   0.3831851741   0.7912235330           0.9463676698   0.2517976122 +0.2024504779 *i
2022-12-03 00:03:53:999914  ->      35.1    45.4           0.4037416932   0.4094187160   0.8181497174           0.9534541723   0.2117257992 +0.2147028813 *i
2022-12-03 00:03:54:552121  ->      40.8    41.4           0.4901380282   0.4321147985   0.7569950557           0.9372819895   0.2614677513 +0.2305148308 *i
2022-12-03 00:03:55:104406  ->      45.3    43.4           0.5164488939   0.4883814412   0.7033947028           0.9228745047   0.2798045082 +0.2645979701 *i
2022-12-03 00:03:55:656668  ->      42.0    36.9           0.5350934804   0.4017595494   0.7431448255           0.9335804265   0.2865813513 +0.2151713650 *i
2022-12-03 00:03:56:209032  ->      39.9    45.0           0.4535733843   0.4535733843   0.7671651518           0.9399907318   0.2412648173 +0.2412648173 *i
2022-12-03 00:03:56:761412  ->      44.1    61.2           0.3352585466   0.6098330324   0.7181262978           0.9268565956   0.1808578308 +0.3289791729 *i
2022-12-03 00:03:57:313702  ->      36.9    48.4           0.3986347262   0.4489930980   0.7996846585           0.9486001946   0.2101173542 +0.2366608717 *i
2022-12-03 00:03:57:866822  ->      39.1    24.6           0.5734332172   0.2625382248   0.7760464071           0.9423498308   0.3042570808 +0.1392997676 *i
2022-12-03 00:03:58:418710  ->      35.1    51.3           0.3595178112   0.4487515831   0.8181497174           0.9534541723   0.1885343951 +0.2353293929 *i
2022-12-03 00:03:58:970715  ->      35.3    41.4           0.4334574007   0.3821441035   0.8161375901           0.9529264374   0.2274348700 +0.2005108099 *i
2022-12-03 00:03:59:522944  ->      37.9    50.2           0.3932099148   0.4719451980   0.7890840848           0.9458023273   0.2078710865 +0.2494946271 *i
2022-12-03 00:04:00:075107  ->      38.4    52.0           0.3824167588   0.4894711304   0.7836934573           0.9443763702   0.2024705249 +0.2591504541 *i
2022-12-03 00:04:00:627612  ->      37.3    52.0           0.3730837125   0.4775253760   0.7954734809           0.9474897047   0.1968800878 +0.2519950210 *i
2022-12-03 00:04:01:179705  ->      42.3    43.3           0.4898001729   0.4615643335   0.7396310950           0.9326390231   0.2625882902 +0.2474506867 *i
2022-12-03 00:04:01:731948  ->      38.1    38.2           0.4849018958   0.3815801654   0.7869350220           0.9452341038   0.2564983076 +0.2018442648 *i
2022-12-03 00:04:02:284037  ->      41.1    38.5           0.5144672295   0.4092257123   0.7535633923           0.9363662190   0.2747147532 +0.2185179815 *i
2022-12-03 00:04:02:836373  ->      42.2    36.0           0.5434333722   0.3948274561   0.7408045963           0.9329535348   0.2912435357 +0.2116008147 *i
2022-12-03 00:04:03:388626  ->      42.6    43.4           0.4918009350   0.4650730251   0.7360970871           0.9316912276   0.2639291433 +0.2495853837 *i
2022-12-03 00:04:03:941521  ->      41.1    36.8           0.5263809818   0.3937832853   0.7535633923           0.9363662190   0.2810764480 +0.2102720481 *i
2022-12-03 00:04:04:493703  ->      39.4    36.1           0.5128558337   0.3739809063   0.7727335735           0.9414705448   0.2723695587 +0.1986152983 *i
2022-12-03 00:04:05:045923  ->      37.5    40.1           0.4656546451   0.3921176213   0.7933533403           0.9469301295   0.2458759261 +0.2070467551 *i
2022-12-03 00:04:05:598289  ->      45.0    43.1           0.5163026972   0.4831475188   0.7071067812           0.9238795325   0.2794210062 +0.2614775530 *i
2022-12-03 00:04:06:150557  ->      46.0    58.5           0.3758540132   0.6133380056   0.6946583705           0.9205048535   0.2041564538 +0.3331530536 *i
2022-12-03 00:04:06:702583  ->      41.8    39.3           0.5157896266   0.4221689176   0.7454759997           0.9342044743   0.2760582082 +0.2259510253 *i
2022-12-03 00:04:07:255083  ->      38.0    36.1           0.4974482440   0.3627454986   0.7880107536           0.9455185756   0.2630557753 +0.1918235707 *i
2022-12-03 00:04:07:807257  ->      35.5    52.8           0.3510924930   0.4625472777   0.8141155184           0.9523957996   0.1843206853 +0.2428335351 *i
2022-12-03 00:04:08:364273  ->      36.5    40.8           0.4502779086   0.3886694646   0.8038568606           0.9496991262   0.2370634531 +0.2046276836 *i
2022-12-03 00:04:08:916679  ->      37.3    58.7           0.3148225555   0.5177921396   0.7954734809           0.9474897047   0.1661350799 +0.2732442036 *i
2022-12-03 00:04:09:468716  ->      46.7    43.9           0.5243974696   0.5046389607   0.6858183529           0.9181008531   0.2855881616 +0.2748276287 *i
2022-12-03 00:04:10:021629  ->      44.5    53.4           0.4178995385   0.5627022059   0.7132504492           0.9255405040   0.2257597245 +0.3039857270 *i
2022-12-03 00:04:10:573806  ->      39.6    33.5           0.5315388277   0.3518178753   0.7705132428           0.9408807690   0.2824687491 +0.1869619865 *i
2022-12-03 00:04:11:125562  ->      36.5    39.6           0.4583188343   0.3791543139   0.8038568606           0.9496991262   0.2412968601 +0.1996181230 *i
2022-12-03 00:04:11:677786  ->      35.6    34.2           0.4814626005   0.3272016454   0.8131007610           0.9521293927   0.2528346484 +0.1718262496 *i
2022-12-03 00:04:12:229894  ->      39.3    39.2           0.4908350165   0.4003152712   0.7738402097           0.9417643574   0.2605933282 +0.2125347323 *i
2022-12-03 00:04:12:782162  ->      40.2    45.4           0.4532100860   0.4595826852   0.7637960286           0.9390942521   0.2413017037 +0.2446946535 *i
2022-12-03 00:04:13:334075  ->      40.1    40.9           0.4868630801   0.4217340295   0.7649214009           0.9393937941   0.2591368408 +0.2244713730 *i
2022-12-03 00:04:13:886183  ->      41.0    36.3           0.5287365263   0.3883955912   0.7547095802           0.9366721892   0.2822420332 +0.2073273850 *i
2022-12-03 00:04:14:438513  ->      43.5    39.2           0.5334365847   0.4350602625   0.7253743710           0.9288095529   0.2871614439 +0.2342031588 *i
2022-12-03 00:04:14:990661  ->      43.0    43.6           0.4938840219   0.4703193979   0.7313537016           0.9304175680   0.2654098756 +0.2527464088 *i
2022-12-03 00:04:15:542988  ->      41.1    54.7           0.3798692979   0.5365086489   0.7535633923           0.9363662190   0.2028422695 +0.2864844107 *i
2022-12-03 00:04:16:095215  ->      44.2    44.3           0.4989559983   0.4869107643   0.7169106077           0.9265286309   0.2692609714 +0.2627607761 *i
2022-12-03 00:04:16:647264  ->      39.8    39.6           0.4932130003   0.4080212785   0.7682835236           0.9402881270   0.2622669510 +0.2169660909 *i
2022-12-03 00:04:17:199586  ->      40.7    51.4           0.4068308892   0.5096282526   0.7581343362           0.9375858191   0.2169566140 +0.2717768562 *i
2022-12-03 00:04:17:751564  ->      40.2    46.4           0.4451202361   0.4674222952   0.7637960286           0.9390942521   0.2369944418 +0.2488686807 *i
2022-12-03 00:04:18:303772  ->      33.7    38.2           0.4360283179   0.3431204521   0.8319541221           0.9570669052   0.2277940631 +0.1792562517 *i
2022-12-03 00:04:18:855809  ->      36.4    52.3           0.3628916953   0.4695269880   0.8048937974           0.9499720515   0.1910012483 +0.2471267377 *i
2022-12-03 00:04:19:408312  ->      41.3    41.4           0.4950745571   0.4364669342   0.7512641335           0.9357521396   0.2645329549 +0.2332171713 *i
2022-12-03 00:04:19:960501  ->      39.2    58.3           0.3321134812   0.5377375522   0.7749444887           0.9420574528   0.1762702902 +0.2854059222 *i
2022-12-03 00:04:20:512697  ->      36.4    43.5           0.4304508516   0.4084826059   0.8048937974           0.9499720515   0.2265597451 +0.2149971703 *i
2022-12-03 00:04:21:064956  ->      42.9    53.3           0.4068159094   0.5457854133   0.7325428988           0.9307370463   0.2185450289 +0.2932006496 *i
2022-12-03 00:04:21:617566  ->      42.2    30.3           0.5799605681   0.3389015928   0.7408045963           0.9329535348   0.3108196424 +0.1816283342 *i
2022-12-03 00:04:22:169483  ->      39.6    38.6           0.4981598976   0.3976758217   0.7705132428           0.9408807690   0.2647306195 +0.2113316771 *i
2022-12-03 00:04:22:722205  ->      44.6    34.1           0.5814250920   0.3936543817   0.7120260460           0.9252097184   0.3142125944 +0.2127379198 *i
2022-12-03 00:04:23:277460  ->      40.8    34.6           0.5378542631   0.3710408029   0.7569950557           0.9372819895   0.2869223292 +0.1979344568 *i
2022-12-03 00:04:23:834627  ->      36.7    39.2           0.4631263140   0.3777166049   0.8017756442           0.9491511061   0.2439686953 +0.1989760126 *i
2022-12-03 00:04:24:386480  ->      38.0    41.5           0.4611031840   0.4079496365   0.7880107536           0.9455185756   0.2438361318 +0.2157279862 *i
2022-12-03 00:04:24:938551  ->      39.1    57.0           0.3434906632   0.5289292376   0.7760464071           0.9423498308   0.1822522019 +0.2806437802 *i
2022-12-03 00:04:25:491018  ->      40.1    47.7           0.4335032631   0.4764138656   0.7649214009           0.9393937941   0.2307356434 +0.2535751612 *i
2022-12-03 00:04:26:043467  ->      38.8    34.5           0.5164006108   0.3549123068   0.7793379649           0.9432226579   0.2737426876 +0.1881381368 *i
2022-12-03 00:04:26:595748  ->      40.2    53.0           0.3884461333   0.5154854296   0.7637960286           0.9390942521   0.2068195671 +0.2744588355 *i
2022-12-03 00:04:27:147477  ->      38.7    37.2           0.4980244818   0.3780211566   0.7804304073           0.9435121640   0.2639205411 +0.2003265941 *i
2022-12-03 00:04:27:699993  ->      43.4    59.1           0.3528477806   0.5895656802   0.7265746710           0.9291325715   0.1898802127 +0.3172667164 *i
2022-12-03 00:04:28:252096  ->      37.1    41.4           0.4524729889   0.3989085996   0.7975839288           0.9480463936   0.2386344128 +0.2103845351 *i
2022-12-03 00:04:28:804565  ->      46.3    51.8           0.4470889526   0.5681487152   0.6908824111           0.9194787684   0.2431208680 +0.3089515140 *i
2022-12-03 00:04:29:357088  ->      43.9    30.8           0.5956043629   0.3550514587   0.7205511117           0.9275104074   0.3210769163 +0.1914002559 *i
2022-12-03 00:04:29:909204  ->      40.9    38.2           0.5145325817   0.4048972160   0.7558534692           0.9369774461   0.2745704199 +0.2160656148 *i
2022-12-03 00:04:30:461271  ->      42.3    34.7           0.5533132275   0.3831322430   0.7396310950           0.9326390231   0.2966384709 +0.2054022154 *i
2022-12-03 00:04:31:013441  ->      41.7    39.4           0.5140458292   0.4222420044   0.7466381823           0.9345154312   0.2750333553 +0.2259149450 *i
2022-12-03 00:04:31:565639  ->      37.2    45.4           0.4245211143   0.4304903172   0.7965299180           0.9477684100   0.2239582528 +0.2271073358 *i
2022-12-03 00:04:32:118021  ->      37.8    41.3           0.4604550866   0.4045196777   0.7901550124           0.9460853588   0.2433475385 +0.2137860363 *i
2022-12-03 00:04:32:670111  ->      38.3    40.1           0.4740822453   0.3992143196   0.7847763705           0.9446630009   0.2509266505 +0.2112998600 *i
2022-12-03 00:04:33:222662  ->      42.2    39.8           0.5160718612   0.4299748646   0.7408045963           0.9329535348   0.2765796162 +0.2304374487 *i
2022-12-03 00:04:33:774945  ->      41.6    44.6           0.4727327560   0.4661778172   0.7477980905           0.9348256764   0.2528454063 +0.2493394378 *i
2022-12-03 00:04:34:327178  ->      41.0    62.4           0.3039495469   0.5814018597   0.7547095802           0.9366721892   0.1622496912 +0.3103550347 *i
2022-12-03 00:04:34:879481  ->      40.7    47.0           0.4447300420   0.4769145815   0.7581343362           0.9375858191   0.2371676453 +0.2543311619 *i
2022-12-03 00:04:35:432173  ->      42.4    29.5           0.5868829238   0.3320423823   0.7384553406           0.9323238012   0.3147420044 +0.1780724582 *i
2022-12-03 00:04:35:984243  ->      44.1    52.3           0.4255694927   0.5506225816   0.7181262978           0.9268565956   0.2295767731 +0.2970376346 *i
2022-12-03 00:04:36:536563  ->      41.4    43.4           0.4804924510   0.4543791234   0.7501110696           0.9354440308   0.2568258683 +0.2428681505 *i
2022-12-03 00:04:37:088976  ->      34.2    54.1           0.3295901550   0.4553109415   0.8270805743           0.9557930148   0.1724171185 +0.2381849074 *i
2022-12-03 00:04:37:641070  ->      38.4    52.7           0.3764083497   0.4941065869   0.7836934573           0.9443763702   0.1992893732 +0.2616046962 *i
2022-12-03 00:04:38:193264  ->      36.3    50.1           0.3797466354   0.4541718802   0.8059282822           0.9502442534   0.1998152759 +0.2389763887 *i
2022-12-03 00:04:38:745523  ->      42.4    47.5           0.4555520900   0.4971478685   0.7384553406           0.9323238012   0.2443100184 +0.2666176000 *i
2022-12-03 00:04:39:297632  ->      42.8    38.9           0.5287705399   0.4266640389   0.7337298645           0.9310558159   0.2839628575 +0.2291291412 *i
