


2022-12-02 22:20:21:565089  ->     Device used:genmet0

2022-12-02 22:20:21:565089  ->     Theta   Phi             X              Y              Z                      |0>            |1>
2022-12-02 22:20:31:575880  ->      37.1    42.9           0.4418757279   0.4106162656   0.7975839288           0.9480463936   0.2330454137 +0.2165591623 *i
2022-12-02 22:20:32:127846  ->      39.7    30.1           0.5526308847   0.3203489190   0.7693995550           0.9405848061   0.2937698340 +0.1702924165 *i
2022-12-02 22:20:32:680137  ->      44.7    62.1           0.3291393526   0.6216360627   0.7107994739           0.9248782282   0.1779365881 +0.3360637346 *i
2022-12-02 22:20:33:232593  ->      40.2    36.4           0.5195248893   0.3830267824   0.7637960286           0.9390942521   0.2766095566 +0.2039341533 *i
2022-12-02 22:20:33:784534  ->      43.3    34.4           0.5658779804   0.3874647397   0.7277727577           0.9294548826   0.3044139048 +0.2084365508 *i
2022-12-02 22:20:34:336829  ->      40.3    62.6           0.2976525173   0.5742299172   0.7626683297           0.9387939949   0.1585291975 +0.3058338253 *i
2022-12-02 22:20:34:889108  ->      41.6    30.6           0.5714691941   0.3379659392   0.7477980905           0.9348256764   0.3056554866 +0.1807641509 *i
2022-12-02 22:20:35:441477  ->      38.2    40.8           0.4681320977   0.4040807872   0.7858568932           0.9449489122   0.2477023316 +0.2138109172 *i
2022-12-02 22:20:35:993716  ->      39.8    61.3           0.3073957186   0.5614697673   0.7682835236           0.9402881270   0.1634582581 +0.2985626167 *i
2022-12-02 22:20:36:546135  ->      36.6    26.7           0.5326502443   0.2678951638   0.8028174752           0.9494254776   0.2805118763 +0.1410827759 *i
2022-12-02 22:20:37:098766  ->      42.6    46.0           0.4701975581   0.4869038249   0.7360970871           0.9316912276   0.2523355078 +0.2613010676 *i
2022-12-02 22:20:37:651051  ->      40.2    57.0           0.3515414522   0.5413263655   0.7637960286           0.9390942521   0.1871704844 +0.2882172712 *i
2022-12-02 22:20:38:203312  ->      40.2    24.9           0.5854585321   0.2717608025   0.7637960286           0.9390942521   0.3117144689 +0.1446930390 *i
2022-12-02 22:20:38:755719  ->      40.5    52.3           0.3971550427   0.5138585793   0.7604059656           0.9381913359   0.2116599395 +0.2738559607 *i
2022-12-02 22:20:39:307914  ->      40.7    52.8           0.3942581178   0.5194158881   0.7581343362           0.9375858191   0.2102517496 +0.2769964507 *i
2022-12-02 22:20:39:860429  ->      39.2    24.9           0.5732783958   0.2661069715   0.7749444887           0.9420574528   0.3042693384 +0.1412371245 *i
2022-12-02 22:20:40:412687  ->      42.0    57.6           0.3585381082   0.5649656568   0.7431448255           0.9335804265   0.1920231498 +0.3025800674 *i
2022-12-02 22:20:40:964748  ->      40.9    46.6           0.4498642359   0.4757180913   0.7558534692           0.9369774461   0.2400614005 +0.2538578134 *i
2022-12-02 22:20:41:522874  ->      39.4    34.0           0.5262154439   0.3549367986   0.7727335735           0.9414705448   0.2794646348 +0.1885012763 *i
2022-12-02 22:20:42:075037  ->      38.0    62.7           0.2823728614   0.5470873965   0.7880107536           0.9455185756   0.1493216890 +0.2893054725 *i
2022-12-02 22:20:42:627014  ->      44.0    32.3           0.5871682077   0.3711923323   0.7193398003           0.9271838546   0.3166406559 +0.2001719133 *i
2022-12-02 22:20:43:178936  ->      42.2    37.5           0.5329117733   0.4089175859   0.7408045963           0.9329535348   0.2856046702 +0.2191521713 *i
2022-12-02 22:20:43:730831  ->      36.3    62.1           0.2770206168   0.5232009000   0.8059282822           0.9502442534   0.1457628477 +0.2752981131 *i
2022-12-02 22:20:44:282851  ->      39.9    29.3           0.5593885135   0.3139141934   0.7671651518           0.9399907318   0.2975500154 +0.1669772811 *i
2022-12-02 22:20:44:834896  ->      39.4    42.7           0.4664727181   0.4304486353   0.7727335735           0.9414705448   0.2477362254 +0.2286044092 *i
2022-12-02 22:20:45:386212  ->      39.1    61.0           0.3057576987   0.5516014900   0.7760464071           0.9423498308   0.1622315242 +0.2926734170 *i
2022-12-02 22:20:45:938305  ->      42.7    26.4           0.6074355916   0.3015336463   0.7349145951           0.9313738764   0.3260965371 +0.1618757268 *i
2022-12-02 22:20:46:490723  ->      36.5    48.0           0.3980141320   0.4420394761   0.8038568606           0.9496991262   0.2095474877 +0.2327260623 *i
2022-12-02 22:20:47:042870  ->      35.9    57.5           0.3150576376   0.4945414297   0.8100416404           0.9513258223   0.1655887133 +0.2599222149 *i
2022-12-02 22:20:47:595127  ->      38.8    24.6           0.5697308114   0.2608431310   0.7793379649           0.9432226579   0.3020128951 +0.1382722991 *i
2022-12-02 22:20:48:147431  ->      34.9    54.1           0.3354905242   0.4634619819   0.8201518759           0.9539790029   0.1758374782 +0.2429099490 *i
2022-12-02 22:20:48:699679  ->      35.0    52.4           0.3499648888   0.4544386702   0.8191520443           0.9537169507   0.1834741893 +0.2382460906 *i
2022-12-02 22:20:49:251903  ->      45.3    25.2           0.6431505928   0.3026436964   0.7033947028           0.9228745047   0.3484496481 +0.1639679582 *i
2022-12-02 22:20:49:803957  ->      38.5    58.0           0.3298824982   0.5279223524   0.7826081569           0.9440890204   0.1747094242 +0.2795935240 *i
2022-12-02 22:20:50:355453  ->      44.7    47.4           0.4761109715   0.5177667918   0.7107994739           0.9248782282   0.2573911662 +0.2799107905 *i
2022-12-02 22:20:50:908107  ->      47.7    26.7           0.6607652582   0.3323303029   0.6730125135           0.9146071598   0.3612289993 +0.1816792594 *i
2022-12-02 22:20:51:461025  ->      36.4    61.3           0.2849736932   0.5205150999   0.8048937974           0.9499720515   0.1499905669 +0.2739633756 *i
2022-12-02 22:20:52:013268  ->      42.4    39.4           0.5210560936   0.4280003005   0.7384553406           0.9323238012   0.2794394463 +0.2295341490 *i
2022-12-02 22:20:52:565463  ->      44.9    30.8           0.6063153716   0.3614365013   0.7083398377           0.9242131350   0.3280170713 +0.1955374186 *i
2022-12-02 22:20:53:117803  ->      40.5    62.5           0.2998817357   0.5760674545   0.7604059656           0.9381913359   0.1598190711 +0.3070095792 *i
2022-12-02 22:20:53:669849  ->      35.4    35.8           0.4698339999   0.3388549677   0.8151277957           0.9526614813   0.2465902155 +0.1778464724 *i
2022-12-02 22:20:54:222445  ->      48.6    36.4           0.6037597473   0.4451300758   0.6613118653           0.9114032766   0.3312253548 +0.2442003925 *i
2022-12-02 22:20:54:775779  ->      36.6    61.4           0.2854079931   0.5234752897   0.8028174752           0.9494254776   0.1503056321 +0.2756800308 *i
2022-12-02 22:20:55:328132  ->      38.5    27.5           0.5521772265   0.2874452702   0.7826081569           0.9440890204   0.2924391739 +0.1522341982 *i
2022-12-02 22:20:55:880285  ->      40.8    45.7           0.4563589376   0.4676483783   0.7569950557           0.9372819895   0.2434480459 +0.2494704814 *i
2022-12-02 22:20:56:432270  ->      33.1    59.0           0.2812633027   0.4681007438   0.8377187166           0.9585715197   0.1467096074 +0.2441657895 *i
2022-12-02 22:20:56:984139  ->      41.4    25.3           0.5978805173   0.2826168258   0.7501110696           0.9354440308   0.3195704380 +0.1510602540 *i
2022-12-02 22:20:57:536810  ->      38.0    50.8           0.3891160929   0.4771034672   0.7880107536           0.9455185756   0.2057686136 +0.2522972470 *i
2022-12-02 22:20:58:088955  ->      41.1    55.4           0.3732864215   0.5411094726   0.7535633923           0.9363662190   0.1993271510 +0.2889411544 *i
2022-12-02 22:20:58:640829  ->      42.7    24.6           0.6166072595   0.2823048447   0.7349145951           0.9313738764   0.3310202676 +0.1515529111 *i
2022-12-02 22:20:59:192444  ->      43.2    55.3           0.3896986502   0.5627963239   0.7289686274           0.9297764859   0.2095657699 +0.3026514073 *i
2022-12-02 22:20:59:744880  ->      41.1    50.9           0.4145906639   0.5101536976   0.7535633923           0.9363662190   0.2213827536 +0.2724114173 *i
2022-12-02 22:21:00:296962  ->      41.5    25.7           0.5970716993   0.2873512035   0.7489557208           0.9351352097   0.3192435132 +0.1536415272 *i
2022-12-02 22:21:00:849115  ->      40.3    58.9           0.3340884779   0.5538247989   0.7626683297           0.9387939949   0.1779349249 +0.2949660958 *i
2022-12-02 22:21:01:401536  ->      33.9    44.4           0.3984936426   0.3902338061   0.8300122851           0.9565595342   0.2082952646 +0.2039777934 *i
2022-12-02 22:21:01:953478  ->      38.2    27.3           0.5495283569   0.2836327350   0.7858568932           0.9449489122   0.2907714639 +0.1500783436 *i
2022-12-02 22:21:02:505709  ->      34.6    61.8           0.2683349961   0.5004426527   0.8231363685           0.9547607995   0.1405247242 +0.2620775031 *i
2022-12-02 22:21:03:057647  ->      45.6    37.9           0.5637790205   0.4388899930   0.6996633405           0.9218631516   0.3057823819 +0.2380450896 *i
2022-12-02 22:21:03:610149  ->      43.5    31.9           0.5843935458   0.3637529457   0.7253743710           0.9288095529   0.3145927731 +0.1958167552 *i
2022-12-02 22:21:04:162811  ->      43.3    62.6           0.3156134584   0.6088800851   0.7277727577           0.9294548826   0.1697841737 +0.3275468753 *i
2022-12-02 22:21:04:717799  ->      35.8    29.8           0.5076060620   0.2907087328   0.8110638190           0.9515944039   0.2667134548 +0.1527482358 *i
2022-12-02 22:21:05:269967  ->      43.8    42.0           0.5143626182   0.4631341816   0.7217602281           0.9278362539   0.2771839406 +0.2495775411 *i
2022-12-02 22:21:05:822434  ->      37.9    60.2           0.3052837491   0.5330554752   0.7890840848           0.9458023273   0.1613887703 +0.2818006785 *i
2022-12-02 22:21:06:374376  ->      43.6    26.7           0.6160863692   0.3098591628   0.7241718614           0.9284858269   0.3317693988 +0.1668626240 *i
2022-12-02 22:21:06:926479  ->      37.2    48.6           0.3998285684   0.4535164887   0.7965299180           0.9477684100   0.2109315758 +0.2392549087 *i
2022-12-02 22:21:07:478764  ->      40.4    58.0           0.3434512211   0.5496368482   0.7615383075           0.9384930228   0.1829801676 +0.2928294803 *i
2022-12-02 22:21:08:031174  ->      35.4    24.5           0.5271234318   0.2402239878   0.8151277957           0.9526614813   0.2766583105 +0.1260804559 *i
2022-12-02 22:21:08:583254  ->      41.6    53.4           0.3958493231   0.5330115658   0.7477980905           0.9348256764   0.2117236043 +0.2850860750 *i
2022-12-02 22:21:09:135526  ->      40.0    51.6           0.3992660969   0.5037484442   0.7660444431           0.9396926208   0.2124450528 +0.2680389486 *i
2022-12-02 22:21:09:687694  ->      40.1    25.4           0.5818596077   0.2762872551   0.7649214009           0.9393937941   0.3096995165 +0.1470561424 *i
2022-12-02 22:21:10:241318  ->      40.4    58.4           0.3396056935   0.5520211763   0.7615383075           0.9384930228   0.1809313896 +0.2940997764 *i
2022-12-02 22:21:10:793800  ->      40.7    45.3           0.4586825630   0.4635112024   0.7581343362           0.9375858191   0.2446083087 +0.2471833473 *i
2022-12-02 22:21:11:346155  ->      37.4    28.5           0.5337722818   0.2898147027   0.7944146205           0.9472102777   0.2817601827 +0.1529832971 *i
2022-12-02 22:21:11:898275  ->      35.2    61.9           0.2715064696   0.5084864325   0.8171448983           0.9531906678   0.1424198111 +0.2667286041 *i
2022-12-02 22:21:12:450369  ->      41.7    37.3           0.5291731058   0.4031218784   0.7466381823           0.9345154312   0.2831270026 +0.2156849769 *i
2022-12-02 22:21:13:002489  ->      36.2    32.3           0.4992164293   0.3155915261   0.8069603121           0.9505157316   0.2626029284 +0.1660106801 *i
2022-12-02 22:21:13:554114  ->      31.9    62.7           0.2423680068   0.4695794106   0.8489716876           0.9615018689   0.1260361600 +0.2441905865 *i
2022-12-02 22:21:14:106385  ->      41.0    32.6           0.5526985016   0.3534654381   0.7547095802           0.9366721892   0.2950330478 +0.1886815057 *i
2022-12-02 22:21:14:658680  ->      37.5    38.5           0.4764216599   0.3789628998   0.7933533403           0.9469301295   0.2515611475 +0.2001007719 *i
2022-12-02 22:21:15:218658  ->      41.6    56.4           0.3674111554   0.5529982448   0.7477980905           0.9348256764   0.1965131921 +0.2957761317 *i
2022-12-02 22:21:15:770898  ->      44.2    24.7           0.6333801970   0.2913223415   0.7169106077           0.9265286309   0.3418028196 +0.1572117319 *i
2022-12-02 22:21:16:323146  ->      32.3    52.9           0.3223256054   0.4261908462   0.8452618332           0.9605367857   0.1677841027 +0.2218503511 *i
2022-12-02 22:21:16:875273  ->      36.7    50.9           0.3769077221   0.4637848481   0.8017756442           0.9491511061   0.1985499041 +0.2443156022 *i
2022-12-02 22:21:17:427322  ->      41.4    25.0           0.5993520932   0.2794824710   0.7501110696           0.9354440308   0.3203570034 +0.1493849240 *i
2022-12-02 22:21:17:979765  ->      41.0    58.9           0.3388763542   0.5617617521   0.7547095802           0.9366721892   0.1808937844 +0.2998710534 *i
2022-12-02 22:21:18:532362  ->      41.1    44.5           0.4688731893   0.4607603999   0.7535633923           0.9363662190   0.2503684882 +0.2460364281 *i
2022-12-02 22:21:19:084662  ->      39.4    28.2           0.5593901924   0.2999423895   0.7727335735           0.9414705448   0.2970832149 +0.1592946222 *i
2022-12-02 22:21:19:636635  ->      42.7    61.8           0.3204648707   0.5976644581   0.7349145951           0.9313738764   0.1720387907 +0.3208509887 *i
2022-12-02 22:21:20:188941  ->      36.9    37.9           0.4737820440   0.3688292583   0.7996846585           0.9486001946   0.2497269380 +0.1944071171 *i
2022-12-02 22:21:20:740856  ->      36.0    31.9           0.4990130376   0.3106082599   0.8090169944           0.9510565163   0.2623466792 +0.1632964259 *i
2022-12-02 22:21:21:292691  ->      40.0    62.6           0.2958107196   0.5706767293   0.7660444431           0.9396926208   0.1573975964 +0.3036507453 *i
2022-12-02 22:21:21:844857  ->      41.5    34.2           0.5480401700   0.3724477149   0.7489557208           0.9351352097   0.2930272352 +0.1991411034 *i
2022-12-02 22:21:22:397282  ->      44.4    36.5           0.5624291764   0.4161756980   0.7144726796           0.9258705848   0.3037299087 +0.2247483098 *i
2022-12-02 22:21:22:949516  ->      34.6    62.4           0.2630797557   0.5032251593   0.8231363685           0.9547607995   0.1377726001 +0.2635346778 *i
2022-12-02 22:21:23:501797  ->      37.8    30.1           0.5302574081   0.3073794683   0.7901550124           0.9460853588   0.2802376145 +0.1624480632 *i
2022-12-02 22:21:24:053894  ->      44.9    44.5           0.5034632148   0.4947519233   0.7083398377           0.9242131350   0.2723739773 +0.2676611620 *i
2022-12-02 22:21:24:605908  ->      38.9    59.7           0.3168247093   0.5421805099   0.7782431485           0.9429324336   0.1679996880 +0.2874970097 *i
2022-12-02 22:21:25:158393  ->      33.8    25.7           0.5012651962   0.2412426474   0.8309844693           0.9568135841   0.2619450667 +0.1260656472 *i
2022-12-02 22:21:25:710525  ->      38.9    49.7           0.4061600876   0.4789275363   0.7782431485           0.9429324336   0.2153707271 +0.2539564444 *i
2022-12-02 22:21:26:262570  ->      44.1    57.3           0.3759601523   0.5856181216   0.7181262978           0.9268565956   0.2028146285 +0.3159162509 *i
2022-12-02 22:21:26:814904  ->      40.7    24.6           0.5929114154   0.2714560402   0.7581343362           0.9375858191   0.3161904774 +0.1447633031 *i
2022-12-02 22:21:27:367151  ->      39.0    54.3           0.3672343833   0.5110607227   0.7771459615           0.9426414911   0.1947900590 +0.2710790515 *i
2022-12-02 22:21:27:919285  ->      43.9    50.7           0.4391874551   0.5365822162   0.7205511117           0.9275104074   0.2367560793 +0.2892594045 *i
2022-12-02 22:21:28:471244  ->      36.6    24.8           0.5412395136   0.2500877654   0.8028174752           0.9494254776   0.2850352800 +0.1317047895 *i
2022-12-02 22:21:29:023886  ->      37.0    58.2           0.3171299143   0.5114781907   0.7986355100           0.9483236552   0.1672055276 +0.2696749089 *i
2022-12-02 22:21:29:576105  ->      39.1    45.7           0.4404736241   0.4513700927   0.7760464071           0.9423498308   0.2337102473 +0.2394917885 *i
2022-12-02 22:21:30:129040  ->      37.4    28.3           0.5347806719   0.2879497241   0.7944146205           0.9472102777   0.2822924775 +0.1519988385 *i
2022-12-02 22:21:30:685549  ->      39.2    62.7           0.2898799581   0.5616321299   0.7749444887           0.9420574528   0.1538547130 +0.2980880456 *i
2022-12-02 22:21:31:237063  ->      40.5    32.6           0.5471290650   0.3499036348   0.7604059656           0.9381913359   0.2915871444 +0.1864777585 *i
2022-12-02 22:21:31:789354  ->      49.1    38.4           0.5923574185   0.4694967046   0.6547408137           0.9095990363   0.3256145812 +0.2580789369 *i
2022-12-02 22:21:32:341702  ->      39.1    62.3           0.2931646325   0.5583963398   0.7760464071           0.9423498308   0.1555497879 +0.2962786863 *i
2022-12-02 22:21:32:893843  ->      33.0    27.9           0.4813332600   0.2548528425   0.8386705679           0.9588197349   0.2510030001 +0.1328992475 *i
2022-12-02 22:21:33:446219  ->      45.0    43.6           0.5120668340   0.4876346558   0.7071067812           0.9238795325   0.2771285736 +0.2639059740 *i
2022-12-02 22:21:33:998512  ->      41.6    59.3           0.3389628259   0.5708784621   0.7477980905           0.9348256764   0.1812973448 +0.3053395283 *i
2022-12-02 22:21:34:550023  ->      43.1    26.1           0.6135986906   0.3005988968   0.7301622766           0.9300973811   0.3298572295 +0.1615953893 *i
2022-12-02 22:21:35:102113  ->      44.1    47.5           0.4701518707   0.5130807333   0.7181262978           0.9268565956   0.2536270837 +0.2767853926 *i
2022-12-02 22:21:35:654202  ->      37.3    57.0           0.3300449376   0.5082246358   0.7954734809           0.9474897047   0.1741680864 +0.2681953341 *i
2022-12-02 22:21:36:206281  ->      39.4    24.6           0.5771199021   0.2642261209   0.7727335735           0.9414705448   0.3064991811 +0.1403262812 *i
2022-12-02 22:21:36:758710  ->      37.1    54.8           0.3477085775   0.4929083298   0.7975839288           0.9480463936   0.1833816255 +0.2599600258 *i
2022-12-02 22:21:37:310747  ->      45.2    51.5           0.4417181692   0.5553158463   0.7046342100           0.9232102171   0.2392294631 +0.3007526542 *i
2022-12-02 22:21:37:862581  ->      38.6    24.9           0.5658862538   0.2626756534   0.7815204724           0.9438009516   0.2997911015 +0.1391583962 *i
2022-12-02 22:21:38:414672  ->      42.3    58.5           0.3516480723   0.5738375001   0.7396310950           0.9326390231   0.1885231390 +0.3076418024 *i
2022-12-02 22:21:38:966769  ->      31.4    46.6           0.3579792110   0.3785524018   0.8535507973           0.9626917464   0.1859261868 +0.1966114300 *i
2022-12-02 22:21:39:519258  ->      35.7    27.8           0.5161894538   0.2721558251   0.8120835269           0.9518622608   0.2711471371 +0.1429596677 *i
2022-12-02 22:21:40:071235  ->      35.9    61.6           0.2788928884   0.5158016068   0.8100416404           0.9513258223   0.1465811617 +0.2710961874 *i
2022-12-02 22:21:40:627343  ->      39.6    34.6           0.5246868681   0.3619572255   0.7705132428           0.9408807690   0.2788275016 +0.1923502092 *i
2022-12-02 22:21:41:179370  ->      36.5    34.9           0.4878450244   0.3403254029   0.8038568606           0.9496991262   0.2568418833 +0.1791753796 *i
2022-12-02 22:21:41:731499  ->      40.9    62.6           0.3013115816   0.5812889677   0.7558534692           0.9369774461   0.1607891325 +0.3101936819 *i
2022-12-02 22:21:42:283712  ->      42.4    30.3           0.5821896812   0.3402041813   0.7384553406           0.9323238012   0.3122250448 +0.1824495851 *i
2022-12-02 22:21:42:835934  ->      41.8    42.8           0.4890547791   0.4528696909   0.7454759997           0.9342044743   0.2617493239 +0.2423825315 *i
2022-12-02 22:21:43:387988  ->      40.6    61.0           0.3155016011   0.5691799553   0.7592713073           0.9378889346   0.1681977415 +0.3034367580 *i
2022-12-02 22:21:43:940560  ->      40.8    26.4           0.5852765194   0.2905337873   0.7569950557           0.9372819895   0.3122200821 +0.1549873947 *i
2022-12-02 22:21:44:492823  ->      33.2    48.0           0.3663913118   0.4069187762   0.8367643135           0.9583225745   0.1911628305 +0.2123078319 *i
2022-12-02 22:21:45:044936  ->      38.0    57.6           0.3298879151   0.5198201763   0.7880107536           0.9455185756   0.1744481408 +0.2748862845 *i
2022-12-02 22:21:45:597158  ->      36.0    24.7           0.5340077083   0.2456161034   0.8090169944           0.9510565163   0.2807444664 +0.1291280272 *i
2022-12-02 22:21:46:149479  ->      42.6    54.1           0.3969013576   0.5482977209   0.7360970871           0.9316912276   0.2130004801 +0.2942486226 *i
2022-12-02 22:21:46:702011  ->      43.3    53.5           0.4079403839   0.5512997881   0.7277727577           0.9294548826   0.2194514180 +0.2965715703 *i
2022-12-02 22:21:47:258277  ->      42.7    27.6           0.6009875267   0.3141886862   0.7349145951           0.9313738764   0.3226349493 +0.1686694754 *i
2022-12-02 22:21:47:810525  ->      38.3    60.9           0.3014204712   0.5415457024   0.7847763705           0.9446630009   0.1595386243 +0.2866343351 *i
2022-12-02 22:21:48:362658  ->      38.2    40.5           0.4702414330   0.4016241254   0.7858568932           0.9449489122   0.2488184424 +0.2125110259 *i
2022-12-02 22:21:48:914769  ->      39.6    32.0           0.5405662010   0.3377832517   0.7705132428           0.9408807690   0.2872660484 +0.1795037495 *i
2022-12-02 22:21:49:467197  ->      34.8    62.5           0.2635261984   0.5062291172   0.8211492091           0.9542403285   0.1380816711 +0.2652524223 *i
2022-12-02 22:21:50:019328  ->      40.4    34.2           0.5360473800   0.3642974232   0.7615383075           0.9384930228   0.2855894327 +0.1940863781 *i
2022-12-02 22:21:50:571823  ->      43.2    36.7           0.5488531969   0.4091025648   0.7289686274           0.9297764859   0.2951533004 +0.2200004899 *i
2022-12-02 22:21:51:124116  ->      46.6    62.3           0.3377424564   0.6433045823   0.6870875108           0.9184463813   0.1838661806 +0.3502134667 *i
2022-12-02 22:21:51:676546  ->      34.8    29.0           0.4991573334   0.2766874280   0.8211492091           0.9542403285   0.2615469701 +0.1449778529 *i
2022-12-02 22:21:52:228744  ->      35.6    41.9           0.4332808480   0.3887606708   0.8131007610           0.9521293927   0.2275325451 +0.2041532767 *i
2022-12-02 22:21:52:780956  ->      40.7    60.9           0.3171385253   0.5697854720   0.7581343362           0.9375858191   0.1691250651 +0.3038577698 *i
2022-12-02 22:21:53:334473  ->      39.2    25.2           0.5718772110   0.2691049887   0.7749444887           0.9420574528   0.3035256551 +0.1428283317 *i
2022-12-02 22:21:53:886786  ->      35.2    49.9           0.3712936758   0.4409254148   0.8171448983           0.9531906678   0.1947635916 +0.2312892004 *i
2022-12-02 22:21:54:438925  ->      42.0    55.1           0.3828403152   0.5487887220   0.7431448255           0.9335804265   0.2050387435 +0.2939161461 *i
2022-12-02 22:21:54:991285  ->      39.5    24.7           0.5778822647   0.2657961446   0.7716245834           0.9411760153   0.3070001016 +0.1412042701 *i
2022-12-02 22:21:55:543218  ->      39.0    55.5           0.3564509945   0.5186394153   0.7771459615           0.9426414911   0.1890702870 +0.2750989746 *i
2022-12-02 22:21:56:096357  ->      39.6    49.3           0.4156631663   0.4832530133   0.7705132428           0.9408807690   0.2208904571 +0.2568088483 *i
2022-12-02 22:21:56:648529  ->      34.9    26.4           0.5124777874   0.2543961830   0.8201518759           0.9539790029   0.2686001400 +0.1333342674 *i
2022-12-02 22:21:57:200647  ->      42.0    59.8           0.3365860419   0.5783127223   0.7431448255           0.9335804265   0.1802662269 +0.3097283886 *i
2022-12-02 22:21:57:752636  ->      40.8    42.7           0.4802083386   0.4431235011   0.7569950557           0.9372819895   0.2561706850 +0.2363875045 *i
2022-12-02 22:21:58:304709  ->      45.0    29.3           0.6166460962   0.3460456502   0.7071067812           0.9238795325   0.3337264624 +0.1872785564 *i
2022-12-02 22:21:58:857087  ->      37.5    61.8           0.2876706789   0.5365035489   0.7933533403           0.9469301295   0.1518964652 +0.2832857104 *i
2022-12-02 22:21:59:409391  ->      40.1    36.2           0.5197822053   0.3804230664   0.7649214009           0.9393937941   0.2766583134 +0.2024832763 *i
2022-12-02 22:21:59:961656  ->      45.1    33.4           0.5913560000   0.3899274381   0.7058715707           0.9235452265   0.3201554093 +0.2111035967 *i
2022-12-02 22:22:00:516479  ->      40.9    62.3           0.3043510593   0.5797033430   0.7558534692           0.9369774461   0.1624110914 +0.3093475437 *i
2022-12-02 22:22:01:068293  ->      35.8    28.7           0.5130933805   0.2809104205   0.8110638190           0.9515944039   0.2695966782 +0.1475998700 *i
2022-12-02 22:22:01:620587  ->      40.5    42.4           0.4795883797   0.4379243696   0.7604059656           0.9381913359   0.2555919893 +0.2333875580 *i
2022-12-02 22:22:02:172774  ->      40.6    60.0           0.3253871086   0.5635870043   0.7592713073           0.9378889346   0.1734678258 +0.3004550877 *i
2022-12-02 22:22:02:724943  ->      41.3    25.9           0.5937096345   0.2882899089   0.7512641335           0.9357521396   0.3172365894 +0.1540418112 *i
2022-12-02 22:22:03:277305  ->      35.9    48.9           0.3854666721   0.4418687423   0.8100416404           0.9513258223   0.2025944545 +0.2322383835 *i
2022-12-02 22:22:03:829708  ->      40.0    55.8           0.3613002309   0.5316371454   0.7660444431           0.9396926208   0.1922438375 +0.2828782166 *i
2022-12-02 22:22:04:383820  ->      40.1    24.7           0.5851915850   0.2691580563   0.7649214009           0.9393937941   0.3114729886 +0.1432615683 *i
2022-12-02 22:22:04:936568  ->      45.3    57.0           0.3871291395   0.5961265984   0.7033947028           0.9228745047   0.2097409440 +0.3229727311 *i
2022-12-02 22:22:05:493258  ->      33.8    41.9           0.4140572497   0.3715123225   0.8309844693           0.9568135841   0.2163729992 +0.1941403888 *i
